date,open,high,low,close,volume,openinterest
2011-01-03,61.6,61.65,61.45,61.45,1058,0
2011-01-04,61.55,61.6,61.3,61.3,996,0
2011-01-05,61.1,61.35,59.9,60.3,2368,0
2011-01-06,60.25,60.3,59.95,60.2,896,0
2011-01-07,60.25,60.35,59.4,59.65,1702,0
2011-01-10,59.75,59.9,59.55,59.85,711,0
2011-01-11,59.7,61.0,59.7,60.85,1484,0
2011-01-12,61.0,61.25,60.9,61.1,995,0
2011-01-13,61.25,61.4,60.8,61.05,1350,0
2011-01-14,60.95,61.1,60.8,61.0,477,0
2011-01-17,61.15,61.25,60.7,60.85,1033,0
2011-01-18,60.55,61.55,60.5,61.35,1145,0
2011-01-19,61.35,62.15,61.35,62.05,1788,0
2011-01-20,62.0,62.0,61.6,61.65,923,0
2011-01-21,61.1,61.45,60.55,61.0,1403,0
2011-01-24,61.0,61.2,60.9,60.95,789,0
2011-01-25,61.45,61.7,61.4,61.45,1437,0
2011-01-26,61.45,62.1,61.45,62.0,1253,0
2011-01-27,62.05,62.7,62.05,62.45,2070,0
2011-01-28,62.5,63.0,62.45,63.0,1615,0
2011-02-08,63.05,63.2,62.4,62.6,1530,0
2011-02-09,62.5,62.6,61.7,62.0,1461,0
2011-02-10,61.6,61.6,60.75,60.85,2936,0
2011-02-11,60.4,60.4,58.5,58.9,6551,0
2011-02-14,59.05,59.65,59.05,59.4,2112,0
2011-02-15,59.4,59.9,58.65,59.75,1708,0
2011-02-16,59.8,60.1,59.6,59.85,2034,0
2011-02-17,59.75,59.8,59.4,59.65,932,0
2011-02-18,60.0,60.85,59.95,60.65,1772,0
2011-02-21,60.4,60.8,60.15,60.65,1247,0
2011-02-22,60.3,60.3,59.3,59.85,4044,0
2011-02-23,59.45,59.7,58.8,59.0,3513,0
2011-02-24,59.0,59.55,59.0,59.0,2306,0
2011-02-25,59.3,59.65,58.45,59.5,2775,0
2011-03-01,59.7,60.05,59.5,59.95,1312,0
2011-03-02,59.45,59.9,59.4,59.45,2063,0
2011-03-03,59.55,60.3,59.5,60.2,2050,0
2011-03-04,60.5,60.7,60.4,60.65,1684,0
2011-03-07,60.5,60.5,60.0,60.2,1036,0
2011-03-08,60.05,60.4,60.05,60.25,497,0
2011-03-09,60.55,60.65,60.0,60.2,1133,0
2011-03-10,60.15,60.25,59.3,59.5,1786,0
2011-03-11,59.05,59.05,58.4,58.85,3609,0
2011-03-14,58.6,58.9,57.65,58.8,3148,0
2011-03-15,58.7,58.7,55.6,57.5,9032,0
2011-03-16,58.0,58.05,57.25,57.3,3615,0
2011-03-17,56.8,57.3,56.5,57.3,2690,0
2011-03-18,57.7,57.8,57.35,57.75,1849,0
2011-03-21,57.9,58.5,57.8,58.1,2210,0
2011-03-22,58.5,58.7,58.35,58.4,2310,0
2011-03-23,58.4,58.65,58.15,58.5,1335,0
2011-03-24,58.85,59.0,58.55,58.75,1355,0
2011-03-25,59.05,59.65,59.05,59.35,2377,0
2011-03-28,59.25,59.3,58.85,59.15,991,0
2011-03-29,58.9,59.3,58.75,59.25,1010,0
2011-03-30,59.4,59.8,59.25,59.6,1406,0
2011-03-31,59.5,59.7,59.1,59.55,932,0
2011-04-01,59.6,59.85,59.6,59.85,1164,0
2011-04-06,60.0,61.4,60.0,61.15,3989,0
2011-04-07,61.35,61.4,60.95,61.3,2846,0
2011-04-08,61.25,61.5,61.0,61.1,1473,0
2011-04-11,61.1,61.2,60.75,61.1,1148,0
2011-04-12,60.8,60.8,59.85,60.05,2007,0
2011-04-13,59.9,60.4,59.75,60.4,1018,0
2011-04-14,60.45,60.7,60.05,60.35,1051,0
2011-04-15,60.4,60.45,59.6,59.65,884,0
2011-04-18,59.75,59.95,59.45,59.55,833,0
2011-04-19,59.35,59.35,58.8,59.2,2241,0
2011-04-20,59.5,60.35,59.5,60.3,1726,0
2011-04-21,60.95,61.8,60.95,61.7,4141,0
2011-04-22,61.8,61.8,61.45,61.6,3340,0
2011-04-25,61.9,62.0,61.25,61.45,2595,0
2011-04-26,60.9,61.35,60.7,61.2,2384,0
2011-04-27,61.75,62.25,61.75,62.15,3460,0
2011-04-28,62.25,62.5,62.0,62.15,2312,0
2011-04-29,62.0,62.4,61.65,62.0,2559,0
2011-05-03,62.2,62.3,61.5,62.15,1727,0
2011-05-04,61.6,61.8,61.1,61.8,1522,0
2011-05-05,61.4,62.35,61.3,62.25,2059,0
2011-05-06,61.9,62.05,61.65,61.95,2180,0
2011-05-09,62.1,62.6,61.9,62.3,1490,0
2011-05-10,62.3,62.3,62.05,62.3,823,0
2011-05-11,62.5,62.5,61.95,62.05,1013,0
2011-05-12,61.7,62.4,61.55,62.25,1815,0
2011-05-13,62.25,62.25,61.9,62.05,1097,0
2011-05-16,61.95,61.95,61.25,61.3,1945,0
2011-05-17,61.2,61.45,60.95,61.25,1892,0
2011-05-18,61.2,61.6,61.15,61.6,675,0
2011-05-19,61.6,62.1,61.05,61.05,1538,0
2011-05-20,61.25,61.5,60.9,61.1,1903,0
2011-05-23,60.8,60.8,60.0,60.35,3025,0
2011-05-24,60.3,60.45,60.05,60.45,1546,0
2011-05-25,60.1,60.4,59.8,60.25,2224,0
2011-05-26,60.35,60.85,60.2,60.85,1141,0
2011-05-27,60.65,61.0,60.5,60.6,1054,0
2011-05-30,60.4,60.75,60.0,60.5,882,0
2011-05-31,60.8,62.0,60.8,62.0,1902,0
2011-06-01,62.0,62.45,61.85,62.35,2626,0
2011-06-02,62.0,62.15,61.8,61.9,1823,0
2011-06-03,62.0,62.25,61.75,62.2,855,0
2011-06-07,61.9,62.25,61.55,62.2,807,0
2011-06-08,62.05,62.25,61.85,62.0,769,0
2011-06-09,61.8,62.1,61.8,62.0,579,0
2011-06-10,62.15,62.2,60.5,60.55,2903,0
2011-06-13,60.25,60.25,59.6,59.75,3490,0
2011-06-14,60.0,60.75,59.8,60.75,1684,0
2011-06-15,60.7,60.7,59.8,60.5,1949,0
2011-06-16,59.9,59.9,59.3,59.4,3563,0
2011-06-17,59.6,59.7,59.0,59.2,2525,0
2011-06-20,59.4,59.5,58.55,58.6,2981,0
2011-06-21,59.0,59.2,58.65,59.05,2302,0
2011-06-22,59.5,59.5,58.8,59.2,1549,0
2011-06-23,58.95,59.1,58.6,58.65,1985,0
2011-06-24,58.7,58.7,58.0,58.2,5304,0
2011-06-27,57.5,57.85,57.2,57.8,5801,0
2011-06-28,58.05,58.15,57.5,57.65,2772,0
2011-06-29,58.0,58.75,57.9,58.65,2700,0
2011-06-30,58.8,59.0,58.55,58.85,1761,0
2011-07-01,59.2,59.8,59.2,59.7,3077,0
2011-07-04,59.9,60.2,59.9,60.05,3528,0
2011-07-05,60.0,60.1,59.75,59.95,1454,0
2011-07-06,60.0,60.7,60.0,60.6,2587,0
2011-07-07,60.7,60.7,60.15,60.35,1364,0
2011-07-08,60.5,60.7,59.9,60.05,1639,0
2011-07-11,59.85,59.95,59.4,59.65,1856,0
